Game,Minutes Played
Transformers: War for Cybertron,11
Transistor,126
Trials 2: Second Edition,9
Trials Evolution Gold Edition,0
Trine,0
Trine 2,78
Type:Rider,1
Universe Sandbox,0
VVVVVV,1
Vertiginous Golf,0
Vessel,0
Viscera Cleanup Detail: Shadow Warrior,0
War Thunder,89
"Warhammer 40,000 Space Marine",233
Wasteland 1 - The Original Classic,0
Wasteland 2,0
Windborne,7
Wings of Prey,9
Wolfenstein: The New Order,939
World of Goo,1
Worms Revolution,26
XCOM: Enemy Unknown,888
